Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086282,2021,04,11,15.5,1,N
IDCJAC0010,086282,2021,04,12,17.1,1,N
IDCJAC0010,086282,2021,04,13,19.5,1,N
IDCJAC0010,086282,2021,04,14,22.7,1,N
IDCJAC0010,086282,2021,04,15,20.0,1,N
IDCJAC0010,086282,2021,04,16,16.2,1,N
IDCJAC0010,086282,2021,04,17,17.9,1,N
IDCJAC0010,086282,2021,04,18,18.5,1,N
IDCJAC0010,086282,2021,04,19,20.5,1,N
IDCJAC0010,086282,2021,04,20,19.7,1,N
IDCJAC0010,086282,2021,04,21,15.9,1,N
IDCJAC0010,086282,2021,04,22,17.2,1,N
IDCJAC0010,086282,2021,04,23,16.5,1,N
IDCJAC0010,086282,2021,04,24,17.9,1,N
IDCJAC0010,086282,2021,04,25,17.5,1,N
IDCJAC0010,086282,2021,04,26,18.2,1,N
IDCJAC0010,086282,2021,04,27,15.9,1,N
IDCJAC0010,086282,2021,04,28,18.4,1,N
IDCJAC0010,086282,2021,04,29,21.5,1,N
IDCJAC0010,086282,2021,04,30,25.1,1,N
IDCJAC0010,086282,2021,05,01,24.5,1,N
IDCJAC0010,086282,2021,05,02,26.4,1,N
IDCJAC0010,086282,2021,05,03,18.5,1,N
IDCJAC0010,086282,2021,05,04,15.1,1,N
IDCJAC0010,086282,2021,05,05,16.3,1,N
IDCJAC0010,086282,2021,05,06,21.1,1,N
IDCJAC0010,086282,2021,05,07,22.3,1,N
IDCJAC0010,086282,2021,05,08,19.6,1,N
IDCJAC0010,086282,2021,05,09,20.1,1,N
IDCJAC0010,086282,2021,05,10,16.9,1,N
IDCJAC0010,086282,2021,05,11,14.3,1,N
IDCJAC0010,086282,2021,05,12,17.5,1,N
IDCJAC0010,086282,2021,05,13,17.7,1,N
IDCJAC0010,086282,2021,05,14,14.3,1,N
IDCJAC0010,086282,2021,05,15,12.4,1,N
IDCJAC0010,086282,2021,05,16,15.3,1,N
IDCJAC0010,086282,2021,05,17,15.6,1,N
IDCJAC0010,086282,2021,05,18,15.4,1,N
IDCJAC0010,086282,2021,05,19,18.2,1,N
IDCJAC0010,086282,2021,05,20,16.0,1,N
IDCJAC0010,086282,2021,05,21,18.3,1,N
IDCJAC0010,086282,2021,05,22,19.0,1,N
IDCJAC0010,086282,2021,05,23,19.6,1,N
IDCJAC0010,086282,2021,05,24,19.5,1,N
IDCJAC0010,086282,2021,05,25,19.2,1,N
IDCJAC0010,086282,2021,05,26,13.9,1,N
IDCJAC0010,086282,2021,05,27,13.7,1,N
IDCJAC0010,086282,2021,05,28,12.9,1,N
IDCJAC0010,086282,2021,05,29,12.9,1,N
IDCJAC0010,086282,2021,05,30,14.7,1,N
IDCJAC0010,086282,2021,05,31,16.5,1,N
IDCJAC0010,086282,2021,06,01,15.3,1,N
IDCJAC0010,086282,2021,06,02,18.8,1,N
IDCJAC0010,086282,2021,06,03,17.0,1,N
IDCJAC0010,086282,2021,06,04,13.3,1,N
IDCJAC0010,086282,2021,06,05,12.3,1,N
IDCJAC0010,086282,2021,06,06,13.0,1,N
IDCJAC0010,086282,2021,06,07,17.7,1,N
IDCJAC0010,086282,2021,06,08,12.4,1,N
IDCJAC0010,086282,2021,06,09,13.6,1,N
IDCJAC0010,086282,2021,06,10,13.8,1,N
IDCJAC0010,086282,2021,06,11,14.1,1,N
IDCJAC0010,086282,2021,06,12,15.2,1,N
IDCJAC0010,086282,2021,06,13,15.0,1,N
IDCJAC0010,086282,2021,06,14,15.6,1,N
IDCJAC0010,086282,2021,06,15,14.2,1,N
IDCJAC0010,086282,2021,06,16,14.8,1,N
IDCJAC0010,086282,2021,06,17,13.1,1,N
IDCJAC0010,086282,2021,06,18,12.7,1,N
IDCJAC0010,086282,2021,06,19,15.1,1,N
IDCJAC0010,086282,2021,06,20,13.7,1,N
IDCJAC0010,086282,2021,06,21,14.7,1,N
IDCJAC0010,086282,2021,06,22,13.8,1,N
IDCJAC0010,086282,2021,06,23,14.4,1,N
IDCJAC0010,086282,2021,06,24,15.6,1,N
IDCJAC0010,086282,2021,06,25,12.0,1,N
IDCJAC0010,086282,2021,06,26,13.1,1,N
IDCJAC0010,086282,2021,06,27,15.5,1,N
IDCJAC0010,086282,2021,06,28,13.9,1,N
IDCJAC0010,086282,2021,06,29,15.3,1,N
IDCJAC0010,086282,2021,06,30,15.9,1,N
IDCJAC0010,086282,2021,07,01,16.0,1,Y
IDCJAC0010,086282,2021,07,02,14.5,1,N
IDCJAC0010,086282,2021,07,03,10.2,1,N
IDCJAC0010,086282,2021,07,04,13.4,1,N
IDCJAC0010,086282,2021,07,05,12.5,1,N
IDCJAC0010,086282,2021,07,06,11.7,1,N
IDCJAC0010,086282,2021,07,07,11.7,1,N
IDCJAC0010,086282,2021,07,08,11.4,1,N
IDCJAC0010,086282,2021,07,09,12.4,1,N
IDCJAC0010,086282,2021,07,10,13.7,1,N
IDCJAC0010,086282,2021,07,11,14.4,1,N
IDCJAC0010,086282,2021,07,12,14.5,1,N
IDCJAC0010,086282,2021,07,13,13.4,1,N
IDCJAC0010,086282,2021,07,14,13.3,1,N
IDCJAC0010,086282,2021,07,15,16.6,1,N
IDCJAC0010,086282,2021,07,16,14.2,1,N
IDCJAC0010,086282,2021,07,17,12.7,1,N
IDCJAC0010,086282,2021,07,18,13.0,1,N
IDCJAC0010,086282,2021,07,19,13.0,1,N
IDCJAC0010,086282,2021,07,20,11.2,1,N
IDCJAC0010,086282,2021,07,21,12.9,1,N
IDCJAC0010,086282,2021,07,22,9.7,1,N
IDCJAC0010,086282,2021,07,23,10.7,1,N
IDCJAC0010,086282,2021,07,24,13.5,1,N
IDCJAC0010,086282,2021,07,25,12.0,1,N
IDCJAC0010,086282,2021,07,26,15.8,1,N
IDCJAC0010,086282,2021,07,27,16.9,1,N
IDCJAC0010,086282,2021,07,28,16.4,1,N
IDCJAC0010,086282,2021,07,29,15.0,1,N
IDCJAC0010,086282,2021,07,30,14.1,1,N
IDCJAC0010,086282,2021,07,31,16.9,1,N
IDCJAC0010,086282,2021,08,01,14.8,1,N
IDCJAC0010,086282,2021,08,02,14.7,1,N
IDCJAC0010,086282,2021,08,03,13.6,1,N
IDCJAC0010,086282,2021,08,04,14.1,1,N
IDCJAC0010,086282,2021,08,05,15.5,1,N
IDCJAC0010,086282,2021,08,06,13.9,1,N
IDCJAC0010,086282,2021,08,07,14.8,1,N
IDCJAC0010,086282,2021,08,08,15.2,1,N
IDCJAC0010,086282,2021,08,09,15.2,1,N
IDCJAC0010,086282,2021,08,10,17.8,1,N
IDCJAC0010,086282,2021,08,11,17.9,1,N
IDCJAC0010,086282,2021,08,12,16.1,1,N
IDCJAC0010,086282,2021,08,13,17.1,1,N
IDCJAC0010,086282,2021,08,14,17.4,1,N
IDCJAC0010,086282,2021,08,15,18.1,1,N
IDCJAC0010,086282,2021,08,16,14.4,1,N
IDCJAC0010,086282,2021,08,17,13.9,1,N
IDCJAC0010,086282,2021,08,18,15.3,1,N
IDCJAC0010,086282,2021,08,19,16.9,1,N
IDCJAC0010,086282,2021,08,20,16.9,1,N
IDCJAC0010,086282,2021,08,21,19.8,1,N
IDCJAC0010,086282,2021,08,22,21.4,1,N
IDCJAC0010,086282,2021,08,23,14.4,1,N
IDCJAC0010,086282,2021,08,24,12.0,1,N
IDCJAC0010,086282,2021,08,25,12.6,1,N
IDCJAC0010,086282,2021,08,26,12.3,1,N
IDCJAC0010,086282,2021,08,27,15.0,1,N
